Educational Attainment,Location.1,Year,First Values
Population 25 years and over,Polk County,2021,"12,879"
Population 25 years and over,Putnam County,2016,"47,571"
Population 25 years and over,Putnam County,2017,"48,159"
Population 25 years and over,Putnam County,2018,"49,030"
Population 25 years and over,Putnam County,2019,"50,110"
Population 25 years and over,Putnam County,2020,"51,158"
Population 25 years and over,Putnam County,2021,"51,141"
Population 25 years and over,Rhea County,2016,"22,010"
Population 25 years and over,Rhea County,2017,"22,093"
Population 25 years and over,Rhea County,2018,"22,054"
Population 25 years and over,Rhea County,2019,"22,111"
Population 25 years and over,Rhea County,2020,"22,465"
Population 25 years and over,Rhea County,2021,"22,284"
Population 25 years and over,Roane County,2016,"38,763"
Population 25 years and over,Roane County,2017,"38,880"
Population 25 years and over,Roane County,2018,"38,937"
Population 25 years and over,Roane County,2019,"39,144"
Population 25 years and over,Roane County,2020,"39,412"
Population 25 years and over,Roane County,2021,"39,407"
Population 25 years and over,Robertson County,2016,"45,660"
Population 25 years and over,Robertson County,2017,"46,223"
Population 25 years and over,Robertson County,2018,"46,897"
Population 25 years and over,Robertson County,2019,"47,850"
Population 25 years and over,Robertson County,2020,"48,643"
Population 25 years and over,Robertson County,2021,"49,625"
Population 25 years and over,Rutherford County,2016,"179,453"
Population 25 years and over,Rutherford County,2017,"185,540"
Population 25 years and over,Rutherford County,2018,"191,804"
Population 25 years and over,Rutherford County,2019,"198,337"
Population 25 years and over,Rutherford County,2020,"204,647"
Population 25 years and over,Rutherford County,2021,"212,334"
Population 25 years and over,Scott County,2016,"14,804"
Population 25 years and over,Scott County,2017,"14,877"
Population 25 years and over,Scott County,2018,"14,883"
Population 25 years and over,Scott County,2019,"14,961"
Population 25 years and over,Scott County,2020,"15,097"
Population 25 years and over,Scott County,2021,"14,874"
Population 25 years and over,Sequatchie County,2016,"10,344"
Population 25 years and over,Sequatchie County,2017,"10,320"
Population 25 years and over,Sequatchie County,2018,"10,507"
Population 25 years and over,Sequatchie County,2019,"10,733"
Population 25 years and over,Sequatchie County,2020,"10,943"
Population 25 years and over,Sequatchie County,2021,"11,476"
Population 25 years and over,Sevier County,2016,"66,646"
Population 25 years and over,Sevier County,2017,"67,341"
Population 25 years and over,Sevier County,2018,"68,380"
Population 25 years and over,Sevier County,2019,"69,559"
Population 25 years and over,Sevier County,2020,"70,237"
Population 25 years and over,Sevier County,2021,"70,283"
Population 25 years and over,Shelby County,2016,"602,898"
Population 25 years and over,Shelby County,2017,"607,366"
Population 25 years and over,Shelby County,2018,"609,836"
Population 25 years and over,Shelby County,2019,"612,601"
Population 25 years and over,Shelby County,2020,"615,616"
Population 25 years and over,Shelby County,2021,"610,884"
Population 25 years and over,Smith County,2016,"13,105"
Population 25 years and over,Smith County,2017,"13,197"
Population 25 years and over,Smith County,2018,"13,445"
Population 25 years and over,Smith County,2019,"13,626"
Population 25 years and over,Smith County,2020,"13,897"
Population 25 years and over,Smith County,2021,"13,828"
Population 25 years and over,Stewart County,2016,"9,370"
Population 25 years and over,Stewart County,2017,"9,417"
