district_number,district_name,school_number,school_name,alternative_school,school_year,grade_level,students_iss,students_suspended,students_expelled,students_placed_in_alternative_school,students_committed_zero_tolerance,students_total,percent of in school suspensions,percent suspended,percent_expelled,percent_placed_in_alternative_school,percent_committed_zero_tolerance
60,Bradley County,50,Michigan Avenue Elementary School,No,2020,K,0,0,0,0,0,90,0,0,0,0,0
60,Bradley County,53,North Cleveland GOAL Academy,No,2020,12,0,0,0,0,0,32,0,0,0,0,0
60,Bradley County,55,North Lee Elementary School,No,2020,01,0,0,0,0,0,84,0,0,0,0,0
60,Bradley County,55,North Lee Elementary School,No,2020,02,0,0,0,0,0,82,0,0,0,0,0
60,Bradley County,55,North Lee Elementary School,No,2020,03,0,0,0,0,0,78,0,0,0,0,0
60,Bradley County,55,North Lee Elementary School,No,2020,04,0,1,0,0,0,69,0,1.4,0,0,0
60,Bradley County,55,North Lee Elementary School,No,2020,05,0,0,0,0,0,78,0,0,0,0,0
60,Bradley County,55,North Lee Elementary School,No,2020,K,0,0,0,0,0,79,0,0,0,0,0
60,Bradley County,60,Oak Grove Elementary School,No,2020,01,0,0,0,0,0,72,0,0,0,0,0
60,Bradley County,60,Oak Grove Elementary School,No,2020,02,0,0,0,0,0,77,0,0,0,0,0
60,Bradley County,60,Oak Grove Elementary School,No,2020,03,0,0,0,0,0,54,0,0,0,0,0
60,Bradley County,60,Oak Grove Elementary School,No,2020,04,0,0,0,0,0,68,0,0,0,0,0
60,Bradley County,60,Oak Grove Elementary School,No,2020,05,0,0,0,0,0,68,0,0,0,0,0
60,Bradley County,60,Oak Grove Elementary School,No,2020,K,0,0,0,0,0,61,0,0,0,0,0
60,Bradley County,65,Prospect Elementary School,No,2020,01,0,1,0,0,0,74,0,1.4,0,0,0
60,Bradley County,65,Prospect Elementary School,No,2020,02,0,0,0,1,0,76,0,0,0,1.3,0
60,Bradley County,65,Prospect Elementary School,No,2020,03,0,0,0,0,0,68,0,0,0,0,0
60,Bradley County,65,Prospect Elementary School,No,2020,04,0,0,0,0,0,66,0,0,0,0,0
60,Bradley County,65,Prospect Elementary School,No,2020,05,0,0,0,0,0,68,0,0,0,0,0
60,Bradley County,65,Prospect Elementary School,No,2020,K,0,0,0,0,0,67,0,0,0,0,0
60,Bradley County,70,Taylor Elementary School,No,2020,01,0,0,0,0,0,35,0,0,0,0,0
60,Bradley County,70,Taylor Elementary School,No,2020,02,0,0,0,0,0,28,0,0,0,0,0
60,Bradley County,70,Taylor Elementary School,No,2020,03,0,0,0,0,0,38,0,0,0,0,0
60,Bradley County,70,Taylor Elementary School,No,2020,04,0,0,0,0,0,34,0,0,0,0,0
60,Bradley County,70,Taylor Elementary School,No,2020,05,0,0,0,0,0,41,0,0,0,0,0
60,Bradley County,70,Taylor Elementary School,No,2020,K,0,0,0,0,0,34,0,0,0,0,0
60,Bradley County,72,Lake Forest Middle School,No,2020,06,37,6,0,0,0,411,9,1.5,0,0,0
60,Bradley County,72,Lake Forest Middle School,No,2020,07,42,8,0,0,1,412,10.2,1.9,0,0,0.2
