ACT Code,County,County (copy),District,HighSchool,Year ,CGR %
432315,COFFEE,COFFEE,TULLAHOMA,TULLAHOMA HIGH SCHOOL,2020,0.619469027
432315,COFFEE,COFFEE,TULLAHOMA,TULLAHOMA HIGH SCHOOL,2021,0.50660793
430005,CROCKETT,CROCKETT,CROCKETT COUNTY,CROCKETT COUNTY HIGH SCHOOL,2017,0.638297872
430005,CROCKETT,CROCKETT,CROCKETT COUNTY,CROCKETT COUNTY HIGH SCHOOL,2018,0.597014925
430005,CROCKETT,CROCKETT,CROCKETT COUNTY,CROCKETT COUNTY HIGH SCHOOL,2019,0.640394089
430005,CROCKETT,CROCKETT,CROCKETT COUNTY,CROCKETT COUNTY HIGH SCHOOL,2020,0.56281407
430005,CROCKETT,CROCKETT,CROCKETT COUNTY,CROCKETT COUNTY HIGH SCHOOL,2021,0.439613527
430500,CUMBERLAND,CUMBERLAND,CUMBERLAND COUNTY,CUMBERLAND COUNTY HIGH SCHOOL,2017,0.54185022
430500,CUMBERLAND,CUMBERLAND,CUMBERLAND COUNTY,CUMBERLAND COUNTY HIGH SCHOOL,2018,0.51980198
430500,CUMBERLAND,CUMBERLAND,CUMBERLAND COUNTY,CUMBERLAND COUNTY HIGH SCHOOL,2019,0.532994924
430500,CUMBERLAND,CUMBERLAND,CUMBERLAND COUNTY,CUMBERLAND COUNTY HIGH SCHOOL,2020,0.51
430500,CUMBERLAND,CUMBERLAND,CUMBERLAND COUNTY,CUMBERLAND COUNTY HIGH SCHOOL,2021,0.455399061
430506,CUMBERLAND,CUMBERLAND,CUMBERLAND COUNTY,STONE MEMORIAL HIGH SCHOOL,2017,0.657777778
430506,CUMBERLAND,CUMBERLAND,CUMBERLAND COUNTY,STONE MEMORIAL HIGH SCHOOL,2018,0.628318584
430506,CUMBERLAND,CUMBERLAND,CUMBERLAND COUNTY,STONE MEMORIAL HIGH SCHOOL,2019,0.580952381
430506,CUMBERLAND,CUMBERLAND,CUMBERLAND COUNTY,STONE MEMORIAL HIGH SCHOOL,2020,0.536231884
430506,CUMBERLAND,CUMBERLAND,CUMBERLAND COUNTY,STONE MEMORIAL HIGH SCHOOL,2021,0.427807487
430501,CUMBERLAND,CUMBERLAND,CUMBERLAND COUNTY,THE PHOENIX SCHOOL,2017,
430501,CUMBERLAND,CUMBERLAND,CUMBERLAND COUNTY,THE PHOENIX SCHOOL,2018,
430501,CUMBERLAND,CUMBERLAND,CUMBERLAND COUNTY,THE PHOENIX SCHOOL,2019,
430501,CUMBERLAND,CUMBERLAND,CUMBERLAND COUNTY,THE PHOENIX SCHOOL,2020,
430501,CUMBERLAND,CUMBERLAND,CUMBERLAND COUNTY,THE PHOENIX SCHOOL,2021,
430030,DAVIDSON,DAVIDSON,DAVIDSON COUNTY,ANTIOCH HIGH SCHOOL,2017,0.641089109
430030,DAVIDSON,DAVIDSON,DAVIDSON COUNTY,ANTIOCH HIGH SCHOOL,2018,0.470982143
430030,DAVIDSON,DAVIDSON,DAVIDSON COUNTY,ANTIOCH HIGH SCHOOL,2019,0.552777778
